epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,347.685,2.68899,0.14444,0.51358,2.59173,0.000173631,0.000173631,0.000173631
2,659.233,2.54592,0.14938,0.57531,2.52231,0.000342055,0.000342055,0.000342055
3,971.986,2.46387,0.17778,0.58272,2.54471,0.000503536,0.000503536,0.000503536
